Quarter,Year,Revenue_Billion_VND,COGS_Billion_VND,Gross_Profit_Billion_VND,Operating_Expense_Billion_VND,Net_Profit_Billion_VND,Tech_Segment_Revenue,Telecom_Segment_Revenue
Q1,2020,6631,4025,2606,1651,757,3647,2450
Q2,2020,6980,4228,2752,1717,858,3810,2610
Q3,2020,7150,4326,2824,1780,870,3920,2680
Q4,2020,9069,5571,3498,2067,1052,5120,3280
Q1,2021,7586,4581,3005,1852,906,4160,2840
Q2,2021,8642,5193,3449,2141,1044,4920,3140
Q3,2021,8850,5291,3559,2180,1072,5050,3210
Q4,2021,10572,6422,4150,2485,1256,6210,3690
Q1,2022,9730,5802,3928,2380,1234,5640,3390
Q2,2022,10097,6012,4085,2491,1260,5850,3510
Q3,2022,11149,6682,4467,2689,1386,6600,3820
Q4,2022,13024,7854,5170,3114,1550,7850,4290
Q1,2023,11681,6985,4696,2850,1475,6950,3980
Q2,2023,12484,7490,4994,3020,1503,7520,4180
Q3,2023,13762,8272,5490,3289,1655,8380,4520
Q4,2023,14673,8813,5860,3450,1812,9010,4730
Q1,2024,14010,8394,5616,3316,1730,8920,4180
Q2,2024,14820,8877,5943,3511,1805,9510,4360
Q3,2024,15900,9506,6394,3740,1954,10310,4610
Q4,2024,17170,10260,6910,4020,2101,11210,4910
Q1,2025,16210,9610,6600,3882,2052,10450,4710
Q2,2025,17350,10271,7079,4115,2160,11320,4960
Q3,2025,18600,10992,7608,4394,2330,12250,5230
Q4,2025,20100,11859,8241,4750,2505,13380,5510
